player,tiros_totales,xg_total,goles,pases_totales,pases_completos,pct_pases,intercepciones,faltas
Ethan Ampadu,1.0,0.013776194,0.0,144.0,110.0,76.38888888888889,5.0,5.0
Fabian Lukas Schär,2.0,0.103672833,0.0,80.0,64.0,80.0,3.0,2.0
Federico Santiago Valverde Dipetta,7.0,0.11665369960000001,0.0,186.0,152.0,81.72043010752688,5.0,6.0
Felix Eduardo Torres Caicedo,1.0,0.15397952,0.0,199.0,159.0,79.89949748743719,3.0,1.0
Ferrán Torres García,4.0,1.005212115,2.0,86.0,62.0,72.09302325581395,0.0,1.0
Filip Kostić,1.0,0.012009094,0.0,112.0,73.0,65.17857142857143,1.0,4.0
Firas Tariq Nasser Al Albirakan,2.0,0.124001969,0.0,69.0,46.0,66.66666666666666,2.0,2.0
Fran Karačić,3.0,0.05547327569999999,0.0,55.0,35.0,63.63636363636363,1.0,3.0
Francisco Javier Calvo Quesada,1.0,0.014244432,0.0,101.0,85.0,84.15841584158416,4.0,6.0
Frederico Rodrigues Santos,3.0,0.46720207,0.0,80.0,68.0,85.0,1.0,4.0
Frenkie de Jong,2.0,0.720993446,1.0,364.0,327.0,89.83516483516483,3.0,6.0
Gareth Frank Bale,2.0,0.8052008399999999,1.0,55.0,34.0,61.81818181818181,1.0,2.0
Giorgian Daniel De Arrascaeta Benedetti,3.0,1.13451217,2.0,51.0,34.0,66.66666666666666,0.0,0.0
Gleison Bremer Silva Nascimento,1.0,0.34439024,0.0,85.0,79.0,92.94117647058823,0.0,2.0
Gonzalo Ariel Montiel,3.0,1.587604363,2.0,82.0,71.0,86.58536585365853,1.0,4.0
Gonzalo Jordy Plata Jiménez,2.0,0.105323937,0.0,104.0,78.0,75.0,3.0,4.0
Gonçalo Matias Ramos,7.0,1.671089706,3.0,30.0,24.0,80.0,0.0,2.0
Granit Xhaka,6.0,0.295522079,0.0,240.0,211.0,87.91666666666667,4.0,5.0
Grzegorz Krychowiak,1.0,0.02170277,0.0,127.0,97.0,76.37795275590551,7.0,9.0
Gue-Sung Cho,8.0,0.71258904,2.0,60.0,39.0,65.0,1.0,8.0
Haji Wright,7.0,0.658172932,1.0,27.0,20.0,74.07407407407408,0.0,1.0
Hakim Ziyech,11.0,1.095816526,2.0,300.0,210.0,70.0,14.0,11.0
Harry Kane,12.0,2.330979943,2.0,98.0,65.0,66.3265306122449,0.0,1.0
Harry Maguire,6.0,0.489955663,0.0,409.0,354.0,86.55256723716381,5.0,6.0
Harry Souttar,1.0,0.06809473,0.0,163.0,135.0,82.82208588957054,3.0,1.0
Harry Wilson,2.0,0.061493684,0.0,62.0,48.0,77.41935483870968,1.0,1.0
Hassan Khalid Al Heidos,1.0,0.015712837,0.0,77.0,63.0,81.81818181818183,1.0,4.0
Hee-Chan Hwang,6.0,0.5679465854,1.0,57.0,46.0,80.7017543859649,1.0,3.0
Heung-Min Son,9.0,0.453828075,0.0,122.0,84.0,68.85245901639344,1.0,1.0
Hidemasa Morita,3.0,0.190594476,0.0,161.0,128.0,79.5031055900621,3.0,4.0
Hirving Rodrigo Lozano Bahena,6.0,0.24040568040000002,0.0,74.0,41.0,55.4054054054054,1.0,7.0
Héctor Alfredo Moreno Herrera,1.0,0.1766503,0.0,191.0,166.0,86.91099476439791,2.0,3.0
Ibrahima Konaté,2.0,0.17601235,0.0,228.0,209.0,91.66666666666666,9.0,2.0
Idrissa Gana Gueye,4.0,0.332398158,0.0,131.0,106.0,80.91603053435115,4.0,3.0
In-Beom Hwang,6.0,0.197748277,0.0,247.0,199.0,80.5668016194332,3.0,7.0
Ismaeel Mohammad Mohammad,2.0,0.35790671,0.0,67.0,53.0,79.1044776119403,3.0,1.0
Ismail Jakobs,1.0,0.014392905,0.0,157.0,105.0,66.87898089171973,3.0,2.0
Ismaïla Sarr,10.0,1.848790219,1.0,81.0,57.0,70.37037037037037,3.0,3.0
Ivan Perišić,16.0,0.7556302263,1.0,304.0,214.0,70.39473684210526,11.0,11.0
Jack Grealish,1.0,0.6262809,1.0,56.0,49.0,87.5,2.0,0.0
Jackson Irvine,3.0,0.33239220599999997,0.0,129.0,107.0,82.94573643410853,7.0,9.0
Jae-Sung Lee,1.0,0.021393217,0.0,96.0,84.0,87.5,3.0,2.0
Jakub Kamiński,4.0,0.26249409,0.0,59.0,35.0,59.32203389830508,1.0,5.0
Jakub Piotr Kiwior,1.0,0.12449861,0.0,201.0,169.0,84.07960199004975,4.0,1.0
Jamal Musiala,11.0,1.152516099,0.0,117.0,94.0,80.34188034188034,3.0,1.0
Jan Vertonghen,2.0,0.10772621,0.0,264.0,237.0,89.77272727272727,3.0,0.0
Jawad El Yamiq,1.0,0.06408756,0.0,160.0,143.0,89.375,5.0,2.0
Jean-Charles Castelletto,1.0,0.8945071,1.0,78.0,63.0,80.76923076923077,6.0,1.0
Jean-Eric Maxim Choupo-Moting,3.0,0.5235422875,1.0,69.0,47.0,68.11594202898551,1.0,0.0
Jesper Lindstrøm,3.0,0.33418314800000004,0.0,54.0,38.0,70.37037037037037,5.0,4.0
Jesús Daniel Gallardo Vasconcelos,1.0,0.06430086,0.0,138.0,97.0,70.28985507246377,4.0,4.0
Jin-Su Kim,3.0,0.285274066,0.0,141.0,102.0,72.3404255319149,7.0,1.0
Joachim Andersen,4.0,0.1448613,0.0,245.0,199.0,81.22448979591836,4.0,5.0
Joakim Mæhle,2.0,0.042316963,0.0,145.0,120.0,82.75862068965517,3.0,1.0
Joel Nathaniel Campbell Samuels,1.0,0.051288527,0.0,137.0,105.0,76.64233576642336,0.0,3.0
John Stones,4.0,0.587418711,0.0,450.0,430.0,95.55555555555556,2.0,4.0
Jonathan David,8.0,0.8128135049999999,0.0,59.0,43.0,72.88135593220339,0.0,1.0
Jonathan Osorio,1.0,0.03829635,0.0,60.0,54.0,90.0,0.0,2.0
Jordan Brian Henderson,2.0,0.148950994,1.0,166.0,141.0,84.93975903614458,1.0,6.0
Jordi Alba Ramos,2.0,0.045861136,0.0,371.0,329.0,88.67924528301887,5.0,4.0
Jorge Eduardo Sánchez Ramos,1.0,0.0069717234,0.0,86.0,72.0,83.72093023255815,5.0,5.0
Joshua Kimmich,7.0,0.334518198,0.0,271.0,229.0,84.50184501845018,7.0,3.0
Josip Juranović,1.0,0.041306578,0.0,406.0,326.0,80.29556650246306,6.0,1.0
José Diogo Dalot Teixeira,1.0,0.036435805,0.0,142.0,115.0,80.98591549295774,3.0,1.0
José María Giménez de Vargas,3.0,0.129368291,0.0,167.0,140.0,83.8323353293413,6.0,4.0
João Félix Sequeira,11.0,0.669207472,1.0,122.0,94.0,77.04918032786885,1.0,8.0
João Pedro Cavaco Cancelo,2.0,0.054823571,0.0,269.0,224.0,83.27137546468401,3.0,2.0
Joško Gvardiol,2.0,0.186105118,1.0,510.0,463.0,90.7843137254902,14.0,9.0
Jude Bellingham,5.0,0.8412563740000001,1.0,275.0,242.0,88.0,4.0,6.0
Jules Koundé,4.0,0.16960582600000002,0.0,308.0,258.0,83.76623376623377,3.0,5.0
Julián Álvarez,11.0,1.908327433,4.0,124.0,93.0,75.0,2.0,16.0
Junya Ito,2.0,0.11059656,0.0,98.0,63.0,64.28571428571429,5.0,1.0
Kalidou Koulibaly,1.0,0.23427999,1.0,196.0,152.0,77.55102040816327,6.0,3.0
Kamil Glik,3.0,0.150632187,0.0,130.0,122.0,93.84615384615384,4.0,2.0
Kang-In Lee,5.0,0.117975209,0.0,77.0,61.0,79.22077922077922,0.0,3.0
Kaoru Mitoma,2.0,0.837634306,0.0,73.0,54.0,73.97260273972603,2.0,3.0
Karl Brillant Toko Ekambi,2.0,0.1803258,0.0,52.0,42.0,80.76923076923077,2.0,0.0
Kendall Jamaal Waston Manley,1.0,0.099276,0.0,77.0,65.0,84.4155844155844,5.0,2.0
Kevin De Bruyne,7.0,0.1779663248,0.0,140.0,100.0,71.42857142857143,1.0,0.0
Keysher Fuller Spence,3.0,0.31160433,1.0,61.0,43.0,70.49180327868852,5.0,2.0
Kieffer Roberto Francisco Moore,6.0,0.6403291090000001,0.0,60.0,41.0,68.33333333333333,1.0,5.0
Kieran Trippier,1.0,0.042866398,0.0,195.0,165.0,84.61538461538461,1.0,2.0
Kingsley Coman,2.0,0.8713631399999999,0.0,70.0,54.0,77.14285714285715,3.0,1.0
Kléper Laveran Lima Ferreira,3.0,0.33506425,1.0,295.0,252.0,85.42372881355932,3.0,3.0
Ko Itakura,3.0,0.162244075,0.0,111.0,102.0,91.8918918918919,4.0,5.0
Krystian Bielik,2.0,0.136828873,0.0,98.0,90.0,91.83673469387756,5.0,6.0
Krépin Diatta,3.0,0.128994183,0.0,76.0,62.0,81.57894736842105,1.0,4.0
Kylian Mbappé Lottin,32.0,5.016751877,9.0,233.0,180.0,77.25321888412017,1.0,8.0
Lautaro Javier Martínez,15.0,2.905046753,1.0,63.0,46.0,73.01587301587301,1.0,3.0
Leander Dendoncker,1.0,0.08894938,0.0,119.0,117.0,98.31932773109243,2.0,3.0
Leandro Daniel Paredes,3.0,1.5813709569999999,2.0,240.0,227.0,94.58333333333333,3.0,7.0
Leon Goretzka,4.0,0.46069594999999997,0.0,59.0,46.0,77.96610169491525,2.0,5.0
Leroy Sané,3.0,0.18344245,0.0,56.0,48.0,85.71428571428571,1.0,0.0
Lionel Andrés Messi Cuccittini,34.0,7.598649225,9.0,371.0,306.0,82.47978436657682,0.0,11.0
Lisandro Martínez,1.0,0.33156127,0.0,154.0,132.0,85.71428571428571,3.0,2.0
Lovro Majer,5.0,1.5922397369999999,2.0,98.0,80.0,81.63265306122449,2.0,5.0
Lucas Tolentino Coelho de Lima,4.0,0.704333275,1.0,202.0,172.0,85.14851485148515,2.0,4.0
Luis Gerardo Chávez Magallón,10.0,0.2156515785,1.0,144.0,104.0,72.22222222222221,4.0,3.0
Luka Modrić,7.0,1.12735736,1.0,549.0,463.0,84.3351548269581,17.0,15.0
Luke Shaw,3.0,0.084394449,0.0,403.0,340.0,84.36724565756823,3.0,5.0
Manuel Obafemi Akanji,4.0,0.8826694319999999,1.0,255.0,229.0,89.80392156862746,4.0,6.0
Marcelo Brozović,5.0,1.368818893,1.0,529.0,472.0,89.22495274102079,10.0,14.0
Marco Asensio Willemsen,10.0,0.608190739,1.0,117.0,92.0,78.63247863247864,0.0,3.0
Marcos Aoás Corrêa,2.0,0.86164184,0.0,359.0,345.0,96.10027855153204,3.0,1.0
Marcos Javier Acuña,2.0,0.076122072,0.0,217.0,170.0,78.3410138248848,3.0,9.0
Marcos Llorente Moreno,1.0,0.024551911,0.0,104.0,94.0,90.38461538461539,1.0,1.0
Marcus Rashford,11.0,1.382585795,3.0,66.0,49.0,74.24242424242425,1.0,1.0
Mario Pašalić,4.0,0.9502076909999999,1.0,93.0,77.0,82.79569892473118,3.0,4.0
Mark Anthony Kaye,1.0,0.038882375,0.0,57.0,50.0,87.71929824561403,1.0,1.0
Marko Livaja,7.0,1.773984791,1.0,57.0,35.0,61.40350877192983,1.0,7.0
Martin Hongla Yma II,1.0,0.08237888,0.0,64.0,52.0,81.25,3.0,1.0
Mason Mount,4.0,0.18183271299999998,0.0,72.0,62.0,86.11111111111111,1.0,7.0
Mateo Kovačić,3.0,0.34514701999999997,0.0,456.0,416.0,91.22807017543859,8.0,3.0
Mathew Leckie,1.0,0.11353828,1.0,103.0,69.0,66.99029126213593,2.0,8.0
Mathias Jensen,2.0,0.048329171000000004,0.0,68.0,53.0,77.94117647058823,0.0,2.0
Mathías Olivera Miramontes,2.0,0.08097578899999999,0.0,133.0,108.0,81.203007518797,4.0,2.0
Matty Cash,1.0,0.023505978,0.0,156.0,121.0,77.56410256410257,2.0,7.0
Matías Vecino Falero,1.0,0.052239094,0.0,103.0,82.0,79.6116504854369,5.0,4.0
Maya Yoshida,1.0,0.7835,0.0,227.0,201.0,88.54625550660793,9.0,4.0
Mehdi Taremi,6.0,1.37814372,2.0,82.0,60.0,73.17073170731707,2.0,5.0
Memphis Depay,10.0,1.181855992,1.0,127.0,96.0,75.59055118110236,1.0,4.0
Michy Batshuayi Tunga,6.0,0.620673121,1.0,23.0,15.0,65.21739130434783,0.0,5.0
Min Jae Kim,2.0,0.105906885,0.0,187.0,165.0,88.23529411764706,4.0,0.0
Mislav Oršić,10.0,1.0595709986,2.0,55.0,42.0,76.36363636363637,0.0,4.0
Mitchell Thomas Duke,7.0,0.254732119,1.0,68.0,36.0,52.94117647058824,2.0,7.0
Mohamed Dräger,4.0,0.303584759,0.0,51.0,35.0,68.62745098039215,3.0,3.0
Mohamed Salisu,2.0,0.42841392,1.0,149.0,106.0,71.14093959731544,3.0,6.0
Mohammed Kanoo,6.0,0.319447288,0.0,145.0,118.0,81.37931034482759,2.0,8.0
Mohammed Kudus,8.0,0.658570808,2.0,82.0,61.0,74.39024390243902,1.0,3.0
Moisés Isaac Caicedo Corozo,3.0,0.653325549,1.0,154.0,128.0,83.11688311688312,2.0,4.0
Montassar Omar Talbi,1.0,0.012159805,0.0,133.0,115.0,86.46616541353383,3.0,3.0
Morteza Pouraliganji,2.0,0.26883789,0.0,128.0,93.0,72.65625,8.0,6.0
Nahuel Molina Lucero,2.0,0.485319467,1.0,360.0,296.0,82.22222222222221,9.0,2.0
Nampalys Mendy,2.0,0.09337050799999999,0.0,162.0,145.0,89.50617283950618,1.0,5.0
Nayef Aguerd,1.0,0.25141555,0.0,154.0,133.0,86.36363636363636,4.0,2.0
Neco Williams,3.0,0.07557114100000001,0.0,97.0,71.0,73.19587628865979,4.0,4.0
Neymar da Silva Santos Junior,12.0,2.129257917,2.0,156.0,123.0,78.84615384615384,0.0,4.0
Ngoran Suiru Fai Collins,1.0,0.009452554,0.0,152.0,103.0,67.76315789473685,7.0,6.0
Niclas Füllkrug,8.0,1.688675085,2.0,25.0,16.0,64.0,0.0,0.0
Nico Elvedi,1.0,0.19001445,0.0,141.0,132.0,93.61702127659575,3.0,3.0
Nicolas Alexis Julio N'Koulou Ndoubena,3.0,0.382484566,0.0,93.0,79.0,84.94623655913979,3.0,2.0
Nicolás Alejandro Tagliafico,3.0,0.9122210500000001,0.0,182.0,153.0,84.06593406593407,4.0,7.0
Nicolás Hernán Otamendi,1.0,0.048093256,0.0,565.0,528.0,93.45132743362832,10.0,13.0
Niklas Süle,1.0,0.07610536,0.0,252.0,233.0,92.46031746031747,1.0,0.0
Nikola Milenković,3.0,0.123164077,0.0,157.0,136.0,86.62420382165605,6.0,9.0
Nikola Vlašić,7.0,2.1955534329999997,2.0,55.0,43.0,78.18181818181819,0.0,6.0
Noussair Mazraoui,4.0,0.15134246899999998,0.0,121.0,103.0,85.12396694214877,1.0,3.0
Olivier Giroud,17.0,3.0359552720000003,4.0,75.0,49.0,65.33333333333333,1.0,4.0
Otávio Edmilson da Silva Monteiro,3.0,0.1035403,0.0,131.0,101.0,77.09923664122137,0.0,6.0
Ousmane Dembélé,8.0,0.362467341,0.0,191.0,149.0,78.01047120418848,3.0,8.0
Pablo Martín Páez Gavira,1.0,0.056229107,1.0,153.0,135.0,88.23529411764706,0.0,9.0
Pape Gueye,4.0,0.094318055,0.0,61.0,46.0,75.40983606557377,1.0,3.0
Pathé Ismaël Ciss,1.0,0.03057826,0.0,60.0,51.0,85.0,1.0,4.0
Pedro Miguel Correia,2.0,0.037067295,0.0,115.0,83.0,72.17391304347827,6.0,4.0
Pervis Josué Estupiñán Tenorio,2.0,0.27007267,0.0,187.0,146.0,78.07486631016043,5.0,7.0
Philip Foden,6.0,1.251350594,1.0,118.0,93.0,78.8135593220339,2.0,3.0
Pierre Kunde Malong,5.0,0.187109743,0.0,51.0,39.0,76.47058823529412,3.0,4.0
Pierre-Emile Højbjerg,2.0,0.023862642,0.0,224.0,200.0,89.28571428571429,2.0,0.0
Piotr Zieliński,3.0,0.5838947800000001,1.0,153.0,124.0,81.04575163398692,2.0,3.0
Przemysław Frankowski,1.0,0.043646414,0.0,73.0,51.0,69.86301369863014,3.0,2.0
Raheem Sterling,1.0,0.1885282,1.0,58.0,47.0,81.03448275862068,1.0,0.0
Ramin Rezaeian,2.0,0.230377999,1.0,105.0,71.0,67.61904761904762,5.0,4.0
Raphael Dias Belloli,8.0,0.922930661,0.0,150.0,115.0,76.66666666666667,2.0,2.0
Raphaël Adelino José Guerreiro,3.0,0.399528818,1.0,191.0,163.0,85.34031413612566,2.0,2.0
Raphaël Varane,3.0,0.26440085,0.0,280.0,251.0,89.64285714285715,6.0,1.0
Remo Freuler,3.0,0.54479492,1.0,149.0,126.0,84.56375838926175,6.0,7.0
Richarlison de Andrade,8.0,1.617659122,3.0,54.0,39.0,72.22222222222221,1.0,6.0
Riley McGree,3.0,0.08010532199999999,0.0,73.0,57.0,78.08219178082192,6.0,10.0
Ritsu Doan,4.0,0.577215802,2.0,57.0,37.0,64.91228070175438,5.0,4.0
Robert Lewandowski,12.0,3.125917802,2.0,91.0,65.0,71.42857142857143,3.0,6.0
Rodrigo Bentancur Colmán,3.0,0.620971297,0.0,158.0,134.0,84.81012658227847,9.0,5.0
Rodrigo Hernández Cascante,1.0,0.0056476467,0.0,679.0,644.0,94.84536082474226,4.0,6.0
Rodrigo Javier De Paul,7.0,0.570042511,0.0,563.0,475.0,84.36944937833037,10.0,10.0
Rodrygo Silva de Goes,7.0,1.245341896,0.0,112.0,89.0,79.46428571428571,3.0,3.0
Romain Saïss,1.0,0.56495196,1.0,193.0,158.0,81.86528497409327,6.0,5.0
Ruben Vargas,3.0,0.29582627899999997,0.0,114.0,81.0,71.05263157894737,1.0,5.0
Rúben Diogo Da Silva Neves,2.0,0.087037176,0.0,259.0,238.0,91.8918918918919,2.0,5.0
Rúben Santos Gato Alves Dias,1.0,0.03750256,0.0,266.0,246.0,92.4812030075188,3.0,4.0
Saeid Ezatolahi Afagh,3.0,0.0612828607,0.0,92.0,71.0,77.17391304347827,1.0,2.0
Salem Mohammed Al Dawsari,7.0,1.564055345,2.0,117.0,92.0,78.63247863247864,0.0,3.0
Salis Abdul Samed,1.0,0.026676558,0.0,142.0,130.0,91.54929577464789,7.0,5.0
Saud Abdullah Abdul Hamid,1.0,0.005913877,0.0,119.0,91.0,76.47058823529412,4.0,7.0
Saša Lukić,1.0,0.039666813,0.0,162.0,143.0,88.27160493827161,2.0,10.0
Sebastián Coates Nión,1.0,0.103292696,0.0,97.0,78.0,80.41237113402062,0.0,2.0
Selim Amallah,2.0,0.11463773599999999,0.0,88.0,70.0,79.54545454545455,11.0,16.0
Serge Gnabry,12.0,0.728018954,1.0,113.0,85.0,75.22123893805309,5.0,2.0
Sergej Milinković-Savić,3.0,0.200274783,1.0,120.0,90.0,75.0,3.0,2.0
Sergino Dest,6.0,0.2518676686,0.0,201.0,174.0,86.56716417910447,3.0,4.0
Sergio Busquets i Burgos,3.0,0.88711582,0.0,290.0,265.0,91.37931034482759,4.0,3.0
Shogo Taniguchi,2.0,0.17448755,0.0,86.0,76.0,88.37209302325581,1.0,3.0
Silvan Widmer,1.0,0.05117428,0.0,164.0,127.0,77.4390243902439,4.0,4.0
Sofiane Boufal,7.0,0.31647403,0.0,134.0,107.0,79.8507462686567,2.0,12.0
Sofyan Amrabat,1.0,0.020691318,0.0,323.0,274.0,84.82972136222911,9.0,16.0
Stephen Antunes Eustáquio,3.0,0.164512644,0.0,93.0,85.0,91.39784946236558,3.0,1.0
Steven Berghuis,6.0,0.975530951,0.0,128.0,98.0,76.5625,0.0,4.0
